date,ticker,convergence_rate,V_median,V_lower,V_upper,sigma_V_median,sigma_V_lower,sigma_V_upper,DD_median,DD_lower,DD_upper,PD_median,PD_lower,PD_upper
2025-12-26,AAPL,1.0,4134175195601.648,4129203779833.5205,4140352830584.346,0.31391537184392043,0.2538364613036447,0.3733993678663632,11.81191872207485,9.834519718016596,14.616876047242615,1.69574378016415e-32,1.096257355065345e-48,3.9974118932791664e-23
2025-12-29,AAPL,1.0,4139768355181.1084,4134314690523.6455,4145432805582.7085,0.31384491828922145,0.2467468959437767,0.37528170376493153,11.792794390494052,9.788558400679563,15.078403808603332,2.1259770786137228e-32,1.1233951238455953e-51,6.30778301536145e-23
2025-12-30,AAPL,1.0,4129504067594.5166,4124105964014.441,4135076588480.583,0.3130628771611337,0.24910103668440559,0.37419719357316544,11.842532070324143,9.846990428299234,14.992525524751384,1.176627474107513e-32,4.11450200609034e-51,3.531685905880141e-23
2025-12-31,AAPL,1.0,4111458798553.9453,4106239875782.1484,4117050374587.217,0.3142619832009482,0.25286751306721944,0.37713106864966195,11.765876868625663,9.743798096787897,14.676856985164203,2.926775365106708e-32,4.535163411016149e-49,9.804557159370897e-23
2026-01-02,AAPL,1.0,4098833271894.6646,4093634219925.096,4105032362448.2705,0.31447678716673577,0.2531352573702815,0.3744857787546219,11.753654069599015,9.856292032360832,14.798110273459848,3.382162741031375e-32,7.534204919793275e-50,3.223268423280938e-23
2026-01-05,AAPL,1.0,4043612977257.827,4038121371476.915,4049326847886.9653,0.3144068508411481,0.24863238066515608,0.37277678369472933,11.717116128471304,9.791891283588445,14.875041036393041,5.207886677790265e-32,2.4035769015806145e-50,6.100139069680165e-23
2026-01-06,AAPL,1.0,3971008821779.132,3965620132676.2856,3976494095037.7886,0.3122859010513682,0.2501248767666978,0.37566978560961956,11.735642459713286,9.704816189575768,14.785590327466132,4.184844310585632e-32,9.193710082687768e-50,1.438905979989368e-22
2026-01-07,AAPL,1.0,3941197620556.0967,3935651641892.04,3947152519071.91,0.3116017209954492,0.251320722818346,0.373945767628115,11.722165054530166,9.73782274706841,14.577801024044458,4.9066043792555795e-32,1.9515243708693027e-48,1.0414912258122399e-22
2026-01-08,AAPL,1.0,3922111745625.3867,3916981518107.331,3928128559722.6665,0.3125045926861102,0.2522527610550699,0.37028656732788234,11.701285268014292,9.765108907033243,14.577026421102884,6.276958537647763e-32,1.971548221358713e-48,7.948996589329702e-23
2026-01-09,AAPL,1.0,3926927538883.539,3921424470080.93,3932859264093.548,0.3118480117848441,0.2516109944400647,0.3733392981230589,11.715953602644024,9.688416091966056,14.646440234916948,5.279860715730063e-32,7.252295380045547e-49,1.6886406152049924e-22
