D,V,sigma_V,DD,PD,leverage,converged,debt_change_pct
49328500000.0,3879366049100.5938,0.31652902696654,13.742688156498906,2.817213029188317e-43,0.01271560852357217,True,-50.0
59194200000.0,3888891184107.724,0.3157537464115322,13.20755690922245,3.967926051173696e-40,0.015221356730654228,True,-40.0
69059900000.0,3898416319114.8545,0.31498225439593913,12.759050604602551,1.387816583259271e-37,0.01771486017575471,True,-30.000000000000004
78925600000.0,3907941454121.9854,0.31421452321743726,12.373791549594229,1.8115313733627758e-35,0.020196208394256142,True,-20.000000000000007
88791299999.99998,3917466589129.1157,0.3134505254431302,12.036719836611155,1.1391797114485332e-33,0.02266549005073685,True,-10.000000000000009
98656999999.99998,3926991724136.246,0.3126902339062816,11.73756571232042,4.090365578428762e-32,0.025122792949531843,True,-1.1102230246251565e-14
108522699999.99998,3936516859143.3765,0.3119336217030945,11.46901345868198,9.439967814776734e-31,0.027568204045140442,True,9.999999999999986
118388399999.99997,3946041994150.507,0.31118066218953816,11.225668257200509,1.525356814271866e-29,0.030001809452483107,True,19.999999999999986
128254099999.99998,3955567129157.6377,0.3104313289782202,11.003438407125197,1.8391666273274693e-28,0.032423694457010134,True,29.999999999999982
138119800000.0,3965092264164.768,0.3096855953994356,10.799147408299081,1.7370723826908603e-27,0.034833943524664596,True,39.99999999999998
147985499999.99997,3974617399171.8984,0.3089434371774727,10.610280253706282,1.3347358164730336e-26,0.037232640311702044,True,49.99999999999998
