sigma_E,V,sigma_V,DD,PD,leverage,converged
0.1,3926991724136.246,0.097574444848253,38.06682558018966,0.0,0.025122792949531847,True
0.1473684210526316,3926991724136.246,0.14379391872374128,25.792268870983197,5.41369028305284e-147,0.025122792949531847,True
0.19473684210526315,3926991724136.246,0.19001339259922953,19.47787555369125,8.457709692305593e-85,0.025122792949531847,True
0.24210526315789474,3926991724136.246,0.2362328664747178,15.62528885479877,2.4484869668349443e-55,0.025122792949531847,True
0.2894736842105263,3926991724136.246,0.28245234035020605,13.025985525273297,4.3534787108594745e-39,0.025122792949531847,True
0.33684210526315794,3926991724136.246,0.32867181422569436,11.15123664366312,3.530901478996055e-29,0.025122792949531847,True
0.38421052631578945,3926991724136.246,0.37489128810118255,9.733056318273546,1.0897212414507548e-22,0.025122792949531847,True
0.43157894736842106,3926991724136.246,0.42111076197667086,8.621111000105103,3.3153797267468773e-18,0.025122792949531847,True
0.4789473684210527,3926991724136.246,0.46733023585215927,7.724539752949324,5.612910221952104e-15,0.025122792949531847,True
0.5263157894736842,3926991724136.237,0.5135497097276652,6.985191577632531,1.4223376741072407e-12,0.025122792949531906,True
0.5736842105263158,3926991724135.5195,0.559769183604469,6.364121309554654,9.820543288270182e-11,0.025122792949536496,True
0.6210526315789474,3926991724113.127,0.6059886575186887,5.834265359381635,2.7014039440699776e-09,0.025122792949679753,True
0.6684210526315789,3926991723764.362,0.6522081319559994,5.376231702233814,3.803044989824249e-08,0.025122792951910965,True
0.7157894736842105,3926991720544.295,0.6984276107352929,4.975761469358257,3.249581989861058e-07,0.02512279297251123,True
0.7631578947368421,3926991700630.466,0.744647113406273,4.622135813813747,1.8990460536011181e-06,0.025122793099909262,True
0.8105263157894737,3926991610475.1455,0.7908667116048524,4.307141269921182,8.268899793758488e-06,0.025122793676674807,True
0.8578947368421053,3926991291340.5244,0.8370866068015077,4.024377678534614,2.856308838735662e-05,0.025122795718327727,True
0.9052631578947369,3926990363155.883,0.8833072580760337,3.768783202190971,8.202264507100868e-05,0.025122801656359398,True
0.9526315789473684,3926988059544.444,0.9295295489283488,3.5363009585971277,0.00020288607131295917,0.025122816393652304,True
1.0,3926983036078.591,0.9757549628378934,3.3236404595727875,0.0004442533308675607,0.02512284853120144,True
